year,month,day,hour,doy,nee,nee_gf,gpp,gpp_gf,sif
2019,1,19,1.25,19,,0.39186,,-0.16514,
2019,1,19,2.25,19,,0.392085,,-0.177185,
2019,1,19,3.25,19,,0.397225,,-0.199905,
2019,1,19,4.25,19,,0.402615,,-0.25987,
2019,1,19,5.25,19,,0.40009,,-0.253225,
2019,1,19,6.25,19,,0.38665,,-0.241735,
2019,1,19,7.25,19,,0.373605,,-0.24724,
2019,1,19,8.25,19,,0.38352,,-0.267035,
2019,1,19,9.25,19,,0.3813,,-0.2805,
2019,1,19,10.25,19,,0.363655,,-0.25102,
2019,1,19,11.25,19,,0.34049,,-0.189755,0.015107768
2019,1,19,12.25,19,,0.336665,,-0.161815,0.036915078
2019,1,19,13.25,19,,0.33283,,-0.131,0.034351562
2019,1,19,14.25,19,,0.36669,,-0.15079,0.043111225
2019,1,19,15.25,19,,0.323905,,-0.113535,0.019083457
2019,1,19,16.25,19,,0.332445,,-0.1293,
2019,1,19,17.25,19,,0.34019,,-0.14321,
2019,1,19,18.25,19,,0.375795,,-0.195795,
2019,1,19,19.25,19,,0.395105,,-0.226465,
2019,1,19,20.25,19,,0.40183,,-0.24392,
2019,1,19,21.25,19,,0.415595,,-0.272885,
2019,1,19,22.25,19,,0.415345,,-0.29031,
2019,1,19,23.25,19,,0.404775,,-0.29309,
2019,1,20,0.25,20,,0.396725,,-0.28588,
2019,1,20,1.25,20,,0.39056,,-0.27455,
2019,1,20,2.25,20,,0.394025,,-0.29037,
2019,1,20,3.25,20,,0.399975,,-0.30746,
2019,1,20,4.25,20,,0.40575,,-0.322395,
2019,1,20,5.25,20,,0.404445,,-0.31463,
2019,1,20,6.25,20,,0.39131,,-0.274105,
2019,1,20,7.25,20,,0.38608,,-0.23475,
2019,1,20,8.25,20,,0.3734,,-0.199825,
2019,1,20,9.25,20,,0.36007,,-0.177845,
2019,1,20,10.25,20,,0.34165,,-0.126775,
2019,1,20,11.25,20,,0.341425,,-0.074458,0.031868507
2019,1,20,12.25,20,,0.33982,,-0.0572805,0.00373816
2019,1,20,13.25,20,,0.34153,,-0.0306765,0.009610653
2019,1,20,14.25,20,,0.333085,,0.002302,0.009306422
2019,1,20,15.25,20,,0.3381,,0.019974,0.007898319
2019,1,20,16.25,20,,0.34563,,0.0261445,0.021981236
2019,1,20,17.25,20,,0.370505,,0.00379838,
