         67464470 function calls (67180742 primitive calls) in 4688.950 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
    27144 1651.796    0.061 1651.796    0.061 C:\Users\liuha\Desktop\TBM_2.1_HTC\src\model\SIF.py:155(cal_rtm_sif)
     1462    0.003    0.000    0.003    0.000 C:\Users\liuha\Desktop\TBM_2.1_HTC\src\model\model.py:35(fit_polynomial)
      731    0.003    0.000    0.054    0.000 C:\Users\liuha\anaconda3\lib\site-packages\pandas\core\series.py:1024(_get_values)
      740    0.002    0.000    0.004    0.000 C:\Users\liuha\anaconda3\lib\site-packages\pandas\core\indexes\base.py:605(_simple_new)
      731    0.002    0.000    0.007    0.000 {method 'any' of 'numpy.generic' objects}
      734    0.002    0.000    0.008    0.000 C:\Users\liuha\anaconda3\lib\site-packages\pandas\core\common.py:100(is_bool_indexer)
      731    0.002    0.000    0.071    0.000 C:\Users\liuha\anaconda3\lib\site-packages\pandas\core\series.py:968(_get_with)
     2249    0.002    0.000    0.003    0.000 C:\Users\liuha\anaconda3\lib\site-packages\pandas\core\dtypes\inference.py:321(is_hashable)
      734    0.002    0.000    0.007    0.000 C:\Users\liuha\anaconda3\lib\site-packages\pandas\compat\numpy\function.py:49(__call__)
      731    0.002    0.000    0.069    0.000 C:\Users\liuha\anaconda3\lib\site-packages\pandas\core\generic.py:10368(mean)
      740    0.002    0.000    0.005    0.000 C:\Users\liuha\anaconda3\lib\site-packages\pandas\core\dtypes\common.py:1230(is_float_dtype)
        3    0.002    0.001    0.002    0.001 C:\Users\liuha\anaconda3\lib\site-packages\numpy\lib\twodim_base.py:229(diag)
        2    0.002    0.001    0.002    0.001 C:\Users\liuha\Desktop\TBM_2.1_HTC\src\model\SIF.py:10(sip_cx)
     1465    0.002    0.000    0.010    0.000 C:\Users\liuha\anaconda3\lib\site-packages\numpy\core\_ufunc_config.py:433(__enter__)
     2193    0.002    0.000    0.004    0.000 C:\Users\liuha\anaconda3\lib\site-packages\pandas\core\nanops.py:86(<genexpr>)
     1473    0.002    0.000    0.021    0.000 <__array_function__ internals>:2(zeros_like)
     1508    0.002    0.000    0.004    0.000 C:\Users\liuha\anaconda3\lib\site-packages\pandas\core\dtypes\common.py:1578(_is_dtype_type)
     2930    0.002    0.000    0.002    0.000 {built-in method numpy.seterrobj}
      755    0.002    0.000    0.002    0.000 C:\Users\liuha\anaconda3\lib\site-packages\pandas\core\flags.py:47(__init__)
